answer,id,zero_shot,few_shot,zero_shot_cot,few_shot_cot
51.0,chal-1,,,51.0,52.5
1.0,chal-2,,,8.0,6.524168816871686
17.0,chal-3,,,16.16,17.5
22.0,chal-4,,,18.0,22.0
2.0,chal-5,,,84.0,28.0
46.0,chal-6,,,53.0,48.0
3.0,chal-7,,,7.0,7.0
9.0,chal-8,,,35.35,22.0
4.0,chal-9,,,10.0,10.00
21.0,chal-10,,,26.0,26.5002334234234423
1.0,chal-11,,,16.0,8.0
143.0,chal-12,,,11.0,13.11
926.0,chal-13,,,926.6,694.0
255.0,chal-14,,,17.0,15.0
10.0,chal-15,,,11.11,10.9
16.0,chal-16,,,26.0,19.0
469.0,chal-17,,,218.2,9.0
1414.0,chal-18,,,1331.00,731.7300
27.0,chal-19,,,25.0000,57.0
66.0,chal-20,,,491.00,363.2
186.0,chal-21,,,16.00,109.4
20.0,chal-22,,,4.0,5.0
10.0,chal-23,,,66.0200300040005,8.56788967260676067
1.0,chal-24,,,5.0,4.0
1.0,chal-25,,,5.0,1.0
60.0,chal-26,,,17.5,5.6
488.0,chal-27,,,468.7,48.75
1.0,chal-28,,,23.50,13.57
89.0,chal-29,,,79.0,49.0422762844279
2.0,chal-30,,,6.0,2.0
5.0,chal-31,,,12.0,19.00178812942857428
2.0,chal-32,,,14.0,15.0
1.0,chal-33,,,7.0,1.0
63.0,chal-34,,,78.000000000000000000000,59.5
1.0,chal-35,,,3.0,3.0
1.0,chal-36,,,4.0,2.0
949.0,chal-37,,,26965.0,17675.25
2.0,chal-38,,,7.0,7.0
2.0,chal-39,,,57.06,3.1
3.0,chal-40,,,13.0,18.0
10.0,chal-41,,,5.0,5.542816357666788
4.0,chal-42,,,49.0,46.0
8142.0,chal-43,,,17112.0,176.751725176175173170168
1.0,chal-44,,,5.9,5.0
39.0,chal-45,,,18.0,15.0
32.0,chal-46,,,99.99,35.5
13.0,chal-47,,,5.0,9.0
11.0,chal-48,,,8.5,18.0
26.0,chal-49,,,17.0,26.00
266.0,chal-50,,,619.3623962386237623,385.3667
57.0,chal-51,,,87.1,95.0
6.0,chal-52,,,13.0,14.00123456789678901234
4.0,chal-53,,,10.0,18.0
2.0,chal-54,,,2.0,11.1
24.0,chal-55,,,10.0,12.01563
204.0,chal-56,,,56.0,202.9
20.0,chal-57,,,16.5,20.00
31.0,chal-58,,,25.0,23.0
10.0,chal-59,,,10.0705772897057728,13.001205234012312312
61.0,chal-60,,,625.5,10.0
11.0,chal-61,,,30.0,14.51
2.0,chal-62,,,760.6,6.04255424242424242424
2.0,chal-63,,,25.0,2.0
2.0,chal-64,,,15.0,3.1159875987559875598
139.0,chal-65,,,159.39,149.90
3.0,chal-66,,,16.0,24.002210001231234
4.0,chal-67,,,4.4,4.25
5.0,chal-68,,,5.0,15.0
22.0,chal-69,,,23.0,25.0
111.0,chal-70,,,73.00,78.00
22090603.0,chal-71,,,11141.00,16859.00
125.0,chal-72,,,5700.00000000000000000000,310.003120000003120000
8.0,chal-73,,,5.0,20.0
75.0,chal-74,,,38.0,2.520210120412012012
569.0,chal-75,,,760.00000,351.0
2173.0,chal-76,,,42.13,43.13
2.0,chal-77,,,4.07281,4.00
8.0,chal-78,,,8.0,8.0
2.0,chal-79,,,3.0,11.0
4300.0,chal-80,,,20.00,42400.0
24.0,chal-81,,,78.0,25.0
7.0,chal-82,,,760.00,8.5
2.0,chal-83,,,4.0,6.0491843999999999291
687.0,chal-84,,,1087.1212121212,1079.0000
20.0,chal-85,,,5.0,20.1
30.0,chal-86,,,30.4,60.0000000000000000
1.0,chal-87,,,5.5,3.3
17.0,chal-88,,,56.67546725,7.00
5.0,chal-89,,,5.0,17.07283
22.0,chal-90,,,347.47,317.0725359279296
1.0,chal-91,,,6.0,6.0
366.0,chal-92,,,288.07288,8.575789678967896
22.0,chal-93,,,22.0,35.0
1.0,chal-94,,,21.0,17.0724365247342342
1.0,chal-95,,,13.0,25.0054376789012345678
1.0,chal-96,,,1.0,3050.00000000000000000
12.0,chal-97,,,1747.006239,10.5
30.0,chal-98,,,49.3,49.0
7.0,chal-99,,,112168.75,1120.5
15.0,chal-100,,,20.00672006720672000672,19.0
10.0,chal-101,,,18.0,10.0
8.0,chal-102,,,19.0,19.0
1.0,chal-103,,,7.0,7.0
154.0,chal-104,,,7.5,154.0
39.0,chal-105,,,22.0,60.0
96.0,chal-106,,,26.4,57.0
28462.0,chal-107,,,83.5,800059.00
10011.0,chal-108,,,70.91,21.0
1.0,chal-109,,,1.0,7.0
23.0,chal-110,,,58.0884355,58.0832467287349734
2.0,chal-111,,,69.23,2.5
1862.0,chal-112,,,48.8,43.50000
4.0,chal-113,,,3.0,3.5
1.0,chal-114,,,5.0,1.0
84.0,chal-115,,,84.0,84.0
104.0,chal-116,,,104.1,50.543057678956789
10.0,chal-117,,,625.00,4000.000000000000000000
17.0,chal-118,,,17.1,18.5
10.0,chal-119,,,10.10,3050.0
22.0,chal-120,,,23.0,23.0
3.0,chal-121,,,4.0,4.0
25.0,chal-122,,,22.5,276.7
4.0,chal-123,,,7.0,12.2
33.0,chal-124,,,53.0,11.0728672867286728
12.0,chal-125,,,2.2,15.0
118.0,chal-126,,,190.20,5.5750676077608760
5.0,chal-127,,,65.71,5.0
7.0,chal-128,,,37.0,171.00221313241315132
192.0,chal-129,,,110.00,25.00234567891011121314151
7.0,chal-130,,,7.7,35.005664342134321343
9.0,chal-131,,,19.0,19.0
34.0,chal-132,,,57.0,75.0
60.0,chal-133,,,60.00,58.0
1.0,chal-134,,,13.00,13.5
308.0,chal-135,,,307.8899999999999465,11.00
80.0,chal-136,,,760.1,23.456785678967896789
4.0,chal-137,,,115.004464115004464115,15.00
180.0,chal-138,,,9.0,33.555555
2.0,chal-139,,,20.0,5.5
16.0,chal-140,,,18.1,19.0
15.0,chal-141,,,47.0,8.0
125.0,chal-142,,,168.1,26.57530423143434435
30.0,chal-143,,,26.0,17.5012601260126012
6.0,chal-144,,,4.0,60.043553943424242424
137.0,chal-145,,,760.5,122.0728572857285728
1124.0,chal-146,,,9189.8,814.0
81.0,chal-147,,,91.0,89.0
469.0,chal-148,,,630.7,619.0
72.0,chal-149,,,1768.0000000000001,72.0
3.0,chal-150,,,13.00,3.3
12.0,chal-151,,,13.0,2.0
174080.0,chal-152,,,1714080.00,59216.0
450.0,chal-153,,,7600.0,10.0042153146528652
34.0,chal-154,,,17.0,15.0
2.0,chal-155,,,16.0,5.0
5.0,chal-156,,,5.0,5.0
98.0,chal-157,,,30.0,137.0
21.0,chal-158,,,13.0,14.0
638.0,chal-159,,,11.04254,11.0354040899457941
29.0,chal-160,,,5983.0000,58.0
16.0,chal-161,,,1.5,3.1250000
4.0,chal-162,,,4.0,04.00
13.0,chal-163,,,14.02046428571428571428,17.0
5.0,chal-164,,,11.5,1300.0025049000000000000
37.0,chal-165,,,114.0,10.58791678947891
2.0,chal-166,,,16.0,13.0000313001300313000
95.0,chal-167,,,84.0,70.0
2.0,chal-168,,,1.33333333333,2.1365000000000000000000
21.0,chal-169,,,84.0,63.0
58.0,chal-170,,,69.0,58.1
1538832.0,chal-171,,,84997.00000,10444332.00
6.0,chal-172,,,30.00,10.0
858.0,chal-173,,,36.78,6.576000000000000000000
8.0,chal-174,,,8.0,19.0
5.0,chal-175,,,1.5,3.0
18.0,chal-176,,,18.9,18.1
8.0,chal-177,,,12.8,5.0
8722.0,chal-178,,,98.74,7890.99
14.0,chal-179,,,14.0,17.0
13.0,chal-180,,,115.8,107.05
229.0,chal-181,,,243.0,221.00000
29.0,chal-182,,,19.9,29.29
61.0,chal-183,,,35.1,35.0
420.0,chal-184,,,51.5000099,50.0
1.0,chal-185,,,85.0,87.0
42.0,chal-186,,,42.00,9.5000000000000000000
1.0,chal-187,,,5.0,1.0
56.0,chal-188,,,57.0,1720.0
21.0,chal-189,,,42.0,42.004555656567565656
4.0,chal-190,,,6.0,4.1
76.0,chal-191,,,100.10000,75.0
10.0,chal-192,,,15.00,20.035714285714285
2.0,chal-193,,,13.0,16.0
21.0,chal-194,,,42.0,19.0031302000304000
2.0,chal-195,,,25.00450000000000000000,15.0
28.0,chal-196,,,29.00142857142857141428,18.0
7.0,chal-197,,,19.0,17.0
2.0,chal-198,,,2.0,2.2
28.0,chal-199,,,5320.00000,26.07289
40.0,chal-200,,,360.0012345,360.0009090909090910009
83.0,chal-201,,,7.9,73.0
6.0,chal-202,,,6.6,60.0425042504250425
12518.0,chal-203,,,57.6,56922.0
127.0,chal-204,,,85.1,41.0
1.0,chal-205,,,8.0,6.0
460.0,chal-206,,,50.049500000000010,760.3
11.0,chal-207,,,8.0,15.0
1.0,chal-208,,,5.0,5.0592920292295929592
3.0,chal-209,,,7.0,7.0
7.0,chal-210,,,7.7,51.0
47.0,chal-211,,,423.00,173.1
350.0,chal-212,,,7600.17600,7600.00000
68.0,chal-213,,,48.5,68.0
19.0,chal-214,,,2.0,16.0
22.0,chal-215,,,48.0,25.0030312531253125
12.0,chal-216,,,18.5,11.0
17.0,chal-217,,,51.06194,17.5
72.0,chal-218,,,72.0,73.73730730
2.0,chal-219,,,2.0,2.0
184.0,chal-220,,,164.0,114.00
1.0,chal-221,,,1.00,1.1
1092.0,chal-222,,,18.96,76.4
15.0,chal-223,,,19.0,68.0
14.0,chal-224,,,7.0,14.1
3.0,chal-225,,,34.0,78.0
23.0,chal-226,,,43.0,6.0652143584392
14.0,chal-227,,,24.0,4.288151210642
5.0,chal-228,,,14.0032857142857328571428,7.5
450.0,chal-229,,,51.0,33120.00
2.0,chal-230,,,2,12.5
16.0,chal-231,,,26.26,187.0
280.0,chal-232,,,18.0,8.05625000000000000000
8.0,chal-233,,,13.0,22.0728372837283728
2.0,chal-234,,,2.1,16.04266666666667
1.0,chal-235,,,4.033333,4.0
183.0,chal-236,,,243.4,180.9
482.0,chal-237,,,400.4090,844.0000000000001
8.0,chal-238,,,7.0,6.0
3.0,chal-239,,,7.33,3.5
69.0,chal-240,,,78.0,73.00
20.0,chal-241,,,312.6,20.0
21.0,chal-242,,,60.0,21.0
90.0,chal-243,,,45.0,54.0
10.0,chal-244,,,12.0,9.0
11.0,chal-245,,,8.0,11.2
174.0,chal-246,,,1.26288,168.0
84.0,chal-247,,,12.0,84.0
640.0,chal-248,,,1.2,641.0000
26.0,chal-249,,,88.88,26.0
14.0,chal-250,,,8.0,23.5
27.0,chal-251,,,29.0,25.0
65.0,chal-252,,,180.1,58.0
6840.0,chal-253,,,4520.00,20.076040007604000760
23.0,chal-254,,,18.0,20.0
1542.0,chal-255,,,630.7,750.0
9.0,chal-256,,,14.02899999999999987,12.0
14.0,chal-257,,,22.0,14.0
1.0,chal-258,,,11.061211101111,11.0
40.0,chal-259,,,8.05922,8.0022642146283728
183.0,chal-260,,,125.0,125.0
127.0,chal-261,,,219.218181818182218181818182,10540.00201620162016
10.0,chal-262,,,10.0,10.0
26.0,chal-263,,,26.0,23.58623367826786
1.0,chal-264,,,3.0,30.0024720150600005000
3.0,chal-265,,,7.5,7.0221842864296969
997.0,chal-266,,,43.0434234342343,8899.99
11.0,chal-267,,,43.0,63.0
29.0,chal-268,,,12.07140,17.25
27.0,chal-269,,,4811.0000,24.0
91.0,chal-270,,,161.0618,495.0609289390097609
7.0,chal-271,,,7.1,0.25317800969781428
5.0,chal-272,,,48.0,25.007606345678901234567
48.0,chal-273,,,4.06261,48.00
2.0,chal-274,,,25.43,219.2
18.0,chal-275,,,1.1,1.0
1.0,chal-276,,,9.0832273484245672,7.4
217.0,chal-277,,,155.0,145.0
5.0,chal-278,,,10.0,3.20
26180.0,chal-279,,,261.00,17380.0
3.0,chal-280,,,3.0,18.04912121234666666666
211.0,chal-281,,,98.0,65.0
37.0,chal-282,,,68.5,13.0
34.0,chal-283,,,15.0,13.0
6.0,chal-284,,,16.0,1.50000000000000000
30.0,chal-285,,,24.1,21.54364352345678523456
20.0,chal-286,,,1800.00,25.0
410.0,chal-287,,,589.00,5871.57
2.0,chal-288,,,2.0,3.3
2.0,chal-289,,,2.0,26.564132456456546546
745.0,chal-290,,,818.6666666666667,746.4482758621
131.0,chal-291,,,187.0,197.00672067206720672
6.0,chal-292,,,18.6,25.5952380952381435443
4.0,chal-293,,,17.0,30.0030500300030000300
3.0,chal-294,,,3.034117288,23.52256845684356843
37.0,chal-295,,,42.5,48.0491100000000000000
4.0,chal-296,,,22.0,6.0
2.0,chal-297,,,10.0,4.12
654.0,chal-298,,,645.2,9.6760359285928592
34.0,chal-299,,,30.30,32.8
45.0,chal-300,,,43.43,45.0
28.0,chal-301,,,100.0,28.0
3.0,chal-302,,,18.5,11.1
25.0,chal-303,,,13.52356789101112131415,4.56672756524343
1.0,chal-304,,,4.11993552378379837,4.5
14.0,chal-305,,,97.1,109.0
7.0,chal-306,,,7.0,7.8
5.0,chal-307,,,19.0,21.0
1.0,chal-308,,,301.000236,101.00
2184.0,chal-309,,,68.5,6.0423454343454343434
20.0,chal-310,,,20.0,20.0
66.0,chal-311,,,6666.66,57.56789123456789012345
89.0,chal-312,,,312.4741774177417741,239.0
5.0,chal-313,,,8.0,5.5
22.0,chal-314,,,12.5867686767676767,11.22
8.0,chal-315,,,8.0,10.0
18.0,chal-316,,,18.0,18.0
1.0,chal-317,,,6.5,6.076465238095238
14.0,chal-318,,,16.0,12.5
3.0,chal-319,,,3.9,6.5
4.0,chal-320,,,18.00,6.0
9.0,chal-321,,,16.0,15.0
78.0,chal-322,,,78.0,106.1111
13.0,chal-323,,,5.0,8.5
35.0,chal-324,,,42.0,43.0
41.0,chal-325,,,20.00,20.000000000000000000000
19.0,chal-326,,,48.0,38.000999999999999
13.0,chal-327,,,14.0,13.514181716192120
26.0,chal-328,,,24.0,78.0
63.0,chal-329,,,174.00,13.049113091309113091
11.0,chal-330,,,35.0,11.1
4.0,chal-331,,,25.0,74.0
32.0,chal-332,,,15.1,31.31
332.0,chal-333,,,1.5,1.22
25.0,chal-334,,,12.0,24.0
16.0,chal-335,,,16.0,16.1
1.0,chal-336,,,7.4,7.0
807.0,chal-337,,,8410.34,760.00
18.0,chal-338,,,5.0,43.004266456542654426
3.0,chal-339,,,20.0,25.00000
4.0,chal-340,,,57.0,25.0
2.0,chal-341,,,5.0,25.05488056885764576
2.0,chal-342,,,2.5,2.00
1.0,chal-343,,,4.0,4.0
43.0,chal-344,,,43.0,81.0
4.0,chal-345,,,14.0,42.04266
17.0,chal-346,,,20.0,17.0
158.0,chal-347,,,157.0512007609600000,8168.75
1081.0,chal-348,,,528.0728272827282728,1.8
16.0,chal-349,,,53.0,3.132020
13.0,chal-350,,,23.0,3.0
23.0,chal-351,,,5.0,13.0
5.0,chal-352,,,5.0,5.5
117.0,chal-353,,,57.0,9.042134242426424242
1848.0,chal-354,,,1850.0,2345.25564655645656456
26.0,chal-355,,,38.0,26.0
80.0,chal-356,,,80.0760076000760000760,10.0956799783456789012
12.0,chal-357,,,20.0,18.0
11.0,chal-358,,,6.0,11.11
47.0,chal-359,,,54.0,93.0
27.0,chal-360,,,14.0,18.0
7.0,chal-361,,,50.5,48.0
4.0,chal-362,,,16.0,16.0
1.0,chal-363,,,1.5,1.00
14.0,chal-364,,,6.7,85.1
2.0,chal-365,,,6.0,7.07284
146.0,chal-366,,,46.2,43.5
92.0,chal-367,,,317.60,482.48
314.0,chal-368,,,557.3476,30.0
7.0,chal-369,,,7.0,25.00
14.0,chal-370,,,760.9,9.500000000000000000000
2.0,chal-371,,,9.0,9.1
337.0,chal-372,,,305.0,739.0219572996234219
3.0,chal-373,,,3.0,3.1
22.0,chal-374,,,6.0,23.5
20.0,chal-375,,,37.04265,35.0
152.0,chal-376,,,76000002.0,3.800000000000000000000
6.0,chal-377,,,1.5,146.0
1.0,chal-378,,,5.0,11.05994265927437
3.0,chal-379,,,3.0,6.51278456
3.0,chal-380,,,3.5,5.7
15.0,chal-381,,,11.00,45.12
1.0,chal-382,,,19.0,1.0
83.0,chal-383,,,789.0000,15750.00000
70.0,chal-384,,,265.0,305.00
6.0,chal-385,,,1900.00,12.0
2.0,chal-386,,,6.0,5.3
52.0,chal-387,,,52.0,18.0
3.0,chal-388,,,18.0,3.0
8.0,chal-389,,,8.0,10.00
64.0,chal-390,,,16.0,63.0
6.0,chal-391,,,16.16,5.0
37.0,chal-392,,,37.0,35.0000
13.0,chal-393,,,15.0,27.0
9.0,chal-394,,,9.0,8.0
3.0,chal-395,,,35.6,3.00
1346.0,chal-396,,,3518.6,5544.00
32.0,chal-397,,,16.2,16.002000
10.0,chal-398,,,16.0,10.0
9.0,chal-399,,,33.0,22.0
4.0,chal-400,,,8.000000000000000000000000,1.67
8.0,chal-401,,,8.0,26.5
3.0,chal-402,,,8.0005400300300,5.0
14.0,chal-403,,,3940.00000,7600.00000
11.0,chal-404,,,11.5,11.11
9.0,chal-405,,,23.0,24.0
1.0,chal-406,,,13.0448389216289428,7.2
8.0,chal-407,,,10.0,18.0728572857285728
101.0,chal-408,,,13.0,133.2
6.0,chal-409,,,11.0,11.0
455.0,chal-410,,,455.4,155.5
33.0,chal-411,,,15.2,33.0
7.0,chal-412,,,5.5,7.1
98.0,chal-413,,,40.0,35.5
8.0,chal-414,,,19.0,12.0
17.0,chal-415,,,24.0,16.0
3.0,chal-416,,,19.0,58.00000000000000000000
45.0,chal-417,,,47.1,131.131113213132113213
9.0,chal-418,,,17.0,16.528641864166416
4.0,chal-419,,,43.07692307692,4.0
8.0,chal-420,,,20.00208020802080208,19.0
1.0,chal-421,,,12.0,1.0
1.0,chal-422,,,15.00,8.0
10.0,chal-423,,,50.5,4950.0
394.0,chal-424,,,625.00000,456.4
5590.0,chal-425,,,130.00,5990.00
2.0,chal-426,,,7.0,12.0
15.0,chal-427,,,19.5,23.5
18.0,chal-428,,,15.0,17.0
111.0,chal-429,,,5.11,17.6760402384567789
7.0,chal-430,,,7.0,45.0
6.0,chal-431,,,6.2,6.5
93.0,chal-432,,,95.0,105.5
2.0,chal-433,,,10.7,57.0
51.0,chal-434,,,75.1,47.0
4.0,chal-435,,,7604.4,7.287
3.0,chal-436,,,36.0,36.0425743564256425
14.0,chal-437,,,13.0,14.0
8.0,chal-438,,,6.0,18.75
5.0,chal-439,,,5.0,0.52345678923456734567
5.0,chal-440,,,2.5,8.5
141.0,chal-441,,,86.0,188.18813813
587.0,chal-442,,,598.5980,105.1
35624.0,chal-443,,,24576.6,291.001579
2.0,chal-444,,,10.2,10.0832283228322832
8.0,chal-445,,,14.0,16.5
1891.0,chal-446,,,361.11,18.50060010001
5.0,chal-447,,,10.0,7.00000000000000000000
1.0,chal-448,,,1.0,9.516027
17017.0,chal-449,,,17037.0,9.5252423467890678
58.0,chal-450,,,73.0,70.0
3.0,chal-451,,,45.0,48.0
5.0,chal-452,,,25.0,25.0
3.0,chal-453,,,8.0,104.0
4.0,chal-454,,,13.0,21.0
1.0,chal-455,,,6.03571428571,1.0
10.0,chal-456,,,42.0,10.0
21.0,chal-457,,,17.0,28.0
4.0,chal-458,,,4.0,4.0
71.0,chal-459,,,63.1,42.5
34.0,chal-460,,,11.11,43.0
58.0,chal-461,,,58.0,12.51000010001000
3.0,chal-462,,,10.7,10.0
2.0,chal-463,,,14.1,30.3
60.0,chal-464,,,47.0042619461916190,5.2
9.0,chal-465,,,9.9,14.0
3.0,chal-466,,,9.5,46.02942290000000000000
756.0,chal-467,,,380.0,37400.0372037403740
31.0,chal-468,,,49.0,31.31
3.0,chal-469,,,6.0,8.0
30.0,chal-470,,,57.0,15.0
17.0,chal-471,,,16.0,4.5
112.0,chal-472,,,25603.00,57.5
3.0,chal-473,,,13.0,005.00000000000000000000000
140.0,chal-474,,,133.0,100.10
102.0,chal-475,,,18.5,26.5
1.0,chal-476,,,12.0,1.1
89.0,chal-477,,,13.9,78.5
6.0,chal-478,,,6.7,57.0
1080.0,chal-479,,,24.45,3.2423
66.0,chal-480,,,75.0,65.0
25740.0,chal-481,,,15540.00,16830.0
60.0,chal-482,,,6.0,60.0
109044.0,chal-483,,,49058.0,24946.1
322.0,chal-484,,,20.2,20.1
333.0,chal-485,,,591.00,569.2368
390.0,chal-486,,,390.0,390.0
68.0,chal-487,,,84.0,6.0448980995610204000
9.0,chal-488,,,753.53,165.941176470588235294117647
405.0,chal-489,,,45.9,4.5
25.0,chal-490,,,52.0,54.00000000000000000000
16.0,chal-491,,,18.0,16.1
8.0,chal-492,,,11.0,1.5
324775.0,chal-493,,,7605.30,48895.0
92.0,chal-494,,,82.9,94.94
4.0,chal-495,,,29.0,25.0
23.0,chal-496,,,23.30,43.0
12.0,chal-497,,,12.19,49.0
1.0,chal-498,,,1.0,1.0
9.0,chal-499,,,7600.00,14.0
12.0,chal-500,,,30.0,1800.07500
2.0,chal-501,,,5.0,10.0
70.0,chal-502,,,25.0,2.093650959422088942
5700.0,chal-503,,,20.07190,18.000000000000000000000
17.0,chal-504,,,18.0,19.004261426161161161
52.0,chal-505,,,27.0,4.0592972885929728
57.0,chal-506,,,455.4,58.0
