answer,id,zero_shot,few_shot
51.0,chal-1,6.00,74.0
1.0,chal-2,16.00,1.5
17.0,chal-3,7.0,21.0
22.0,chal-4,59.0,31.4
2.0,chal-5,19.5,85.8
46.0,chal-6,18.0,13.0
3.0,chal-7,2.5,9.0
9.0,chal-8,10.0,10.0
4.0,chal-9,0.5,9.0
21.0,chal-10,1.17,25.0
1.0,chal-11,8.0,13.0
143.0,chal-12,16.9,73.00
926.0,chal-13,598.2,689.2
255.0,chal-14,56.0,48.0
10.0,chal-15,25.0,18.0
16.0,chal-16,58.0,22.0
469.0,chal-17,556.8,73.0
1414.0,chal-18,710.1686,841.9
27.0,chal-19,19.5,59.0
66.0,chal-20,58.0,87.0
186.0,chal-21,13.0,146.00
20.0,chal-22,0.2576000,56.0
10.0,chal-23,19.5,10.0
1.0,chal-24,10.0,1.0
1.0,chal-25,10.0,4.0
60.0,chal-26,83.5,55.0
488.0,chal-27,14.5,0.7
1.0,chal-28,0.5,14.5
89.0,chal-29,48.0,47.0
2.0,chal-30,15.0,8.00
5.0,chal-31,17.0,7.0
2.0,chal-32,2.0,16.0
1.0,chal-33,12.5,4.5
63.0,chal-34,17.0,77.0
1.0,chal-35,7.5,6.0
1.0,chal-36,18.00,13.00
949.0,chal-37,37149.00,7449.2
2.0,chal-38,9.00,2.0
2.0,chal-39,53.9,49.5
3.0,chal-40,20.0,6.0
10.0,chal-41,8.0,1.6
4.0,chal-42,20.5,45.0
8142.0,chal-43,1062.1,78.7
1.0,chal-44,19.5,1.5
39.0,chal-45,59.0,43.5
32.0,chal-46,13.628967289672896728,65.0
13.0,chal-47,17.0,17.0
11.0,chal-48,4.0,10.0
26.0,chal-49,20.0,23.5
266.0,chal-50,12.5,5.0
57.0,chal-51,53.0,48.0
6.0,chal-52,9.00,9.1
4.0,chal-53,4.5,26.0
2.0,chal-54,14.0,3.0
24.0,chal-55,25.0,14.0
204.0,chal-56,100.00,94.0
20.0,chal-57,23.0,27.0
31.0,chal-58,89.003050000000000000000,78.0
10.0,chal-59,14.1,17.0
61.0,chal-60,39.6,15.0
11.0,chal-61,16.0,16.0
2.0,chal-62,3.8,54.0
2.0,chal-63,9.5,1.5
2.0,chal-64,15.6,4.5
139.0,chal-65,95.0,99.0
3.0,chal-66,26.0,22.2
4.0,chal-67,0.5,75.1
5.0,chal-68,25.0,1.5
22.0,chal-69,43.0,48.1
111.0,chal-70,84.00,81.0
22090603.0,chal-71,53.9,14261.0
125.0,chal-72,144.00000,210.1
8.0,chal-73,25.0,19.0
75.0,chal-74,25.0,41.0
569.0,chal-75,850.84,355.6
2173.0,chal-76,51.13,42.5000000
2.0,chal-77,7.0618743487305,1.0
8.0,chal-78,5.0,5.1
2.0,chal-79,3.0,3.0
4300.0,chal-80,1500.00,50.00
24.0,chal-81,35.0,57.0
7.0,chal-82,1.4,10.0
2.0,chal-83,0.5,3.0
687.0,chal-84,668.3,620.9
20.0,chal-85,13.0,15.0
30.0,chal-86,0.5,65.0
1.0,chal-87,16.0,9.0
17.0,chal-88,50.00,35.00
5.0,chal-89,10.0,6.0
22.0,chal-90,19.00,31.0
1.0,chal-91,25.0,10.0
366.0,chal-92,15.00,58.0
22.0,chal-93,13.0,20.0
1.0,chal-94,3.0,3.0
1.0,chal-95,13.1,16.0
1.0,chal-96,27.5,1.0
12.0,chal-97,49.0,22.5
30.0,chal-98,5.00,10.0
7.0,chal-99,4.00,15.0
15.0,chal-100,7601.5,13.0
10.0,chal-101,8.0,15.1
8.0,chal-102,16.0,17.0
1.0,chal-103,8.0,1.5
154.0,chal-104,56.0,44.0
39.0,chal-105,23.0,41.0
96.0,chal-106,8.0,64.0
28462.0,chal-107,24362.6,80.00000
10011.0,chal-108,42711.0,14531.1
1.0,chal-109,8.0,8.0
23.0,chal-110,48.0,44.0
2.0,chal-111,19.5,9.5
1862.0,chal-112,4258.5,2520.00
4.0,chal-113,15.0,13.0
1.0,chal-114,0.5,10.0
84.0,chal-115,12.8,25.5
104.0,chal-116,150.1,103.0
10.0,chal-117,42.5,16.0
17.0,chal-118,23.0,30.0
10.0,chal-119,53.0,483.00
22.0,chal-120,9.0,19.0
3.0,chal-121,7601.172857285772857,6.0
25.0,chal-122,5.0,13.0
4.0,chal-123,9.5,6.00
33.0,chal-124,83.0,26.0
12.0,chal-125,25.5,6.0
118.0,chal-126,22.00,64.0
5.0,chal-127,17.5,15.0
7.0,chal-128,71.0,147.0
192.0,chal-129,17.5,52.00
7.0,chal-130,9.0,9.0
9.0,chal-131,13.1,8.0
34.0,chal-132,69.0,60.0
60.0,chal-133,37.0,46.0
1.0,chal-134,23.0,14.0
308.0,chal-135,81.0,22.0
80.0,chal-136,87.0,156.6
4.0,chal-137,57.0,22.00
180.0,chal-138,1000.0,20.0
2.0,chal-139,15.0,1.5
16.0,chal-140,16.0,5.0
15.0,chal-141,14.0,4.0
125.0,chal-142,18.0,86.0
30.0,chal-143,760.7,57.0
6.0,chal-144,20.0,57.5
137.0,chal-145,19.9,15.0
1124.0,chal-146,15.5000000000000000000,305.2
81.0,chal-147,25.0,20.0
469.0,chal-148,6.9,252.8
72.0,chal-149,26.5,24.5
3.0,chal-150,17.0,14.0
12.0,chal-151,2.5,26.0
174080.0,chal-152,17408.0,8400.00
450.0,chal-153,4240.00,43.5
34.0,chal-154,3.0,6.0
2.0,chal-155,0.00,25.0
5.0,chal-156,13.5,7.0
98.0,chal-157,58.0,26.0
21.0,chal-158,48.0,27.5
638.0,chal-159,37.7,91.0
29.0,chal-160,25.0,59.5
16.0,chal-161,18.0,10.5
4.0,chal-162,25.0,13.0
13.0,chal-163,14.0,12.0
5.0,chal-164,16.0,4.0
37.0,chal-165,58.0,77.0
2.0,chal-166,17.25,10.25
95.0,chal-167,24.0,54.1
2.0,chal-168,12.0,10.0
21.0,chal-169,25.5,42.7
58.0,chal-170,3.0,69.0
1538832.0,chal-171,46832.0000,8416322.0
6.0,chal-172,1.6,8.0
858.0,chal-173,25.00,75.0
8.0,chal-174,12.0,18.0
5.0,chal-175,10.0,13.0
18.0,chal-176,17.00,15.0
8.0,chal-177,18.0,14.0
8722.0,chal-178,53.82,97.00
14.0,chal-179,15.0,9.0
13.0,chal-180,25.0,6.0
229.0,chal-181,760.9,43.0
29.0,chal-182,15.0,48.0
61.0,chal-183,35.5,84.0
420.0,chal-184,7600.00,10.0
1.0,chal-185,27.5,26.0
42.0,chal-186,78.0,90.0
1.0,chal-187,4.0,8.0
56.0,chal-188,16.0,45.0
21.0,chal-189,24.0,16.0
4.0,chal-190,12.0,7.0
76.0,chal-191,16.0,46.0
10.0,chal-192,27.5,1.5
2.0,chal-193,4.5,1.5
21.0,chal-194,16.0,22.0
2.0,chal-195,2.0,6.0
28.0,chal-196,23.0,9.0
7.0,chal-197,8.0,1.0
2.0,chal-198,25.0,13.0
28.0,chal-199,20.0,12.0
40.0,chal-200,4.5,19.5
83.0,chal-201,7600.0,69.0
6.0,chal-202,7600.00,13.0
12518.0,chal-203,56.9,571.9
127.0,chal-204,75.0,87.0
1.0,chal-205,0.5,13.0
460.0,chal-206,52.0,59.0
11.0,chal-207,760.881062895,10.0
1.0,chal-208,25.0,15.0
3.0,chal-209,16.0,18.0
7.0,chal-210,56.0,5.0
47.0,chal-211,12.5,48.0
350.0,chal-212,13.00,23.00
68.0,chal-213,56.0,43.0
19.0,chal-214,11.0,14.0
22.0,chal-215,3.67,24.0
12.0,chal-216,9.0,11.0
17.0,chal-217,54.0,34.0
72.0,chal-218,48.0,18.0
2.0,chal-219,10.0,7.0
184.0,chal-220,12.0,143.0
1.0,chal-221,4.0,9.0
1092.0,chal-222,58.00,58.00000
15.0,chal-223,23.0,37.0
14.0,chal-224,15.0,27.5
3.0,chal-225,6.0,33.0
23.0,chal-226,49.0,38.0
14.0,chal-227,28.0,22.5
5.0,chal-228,4.5,2.5
450.0,chal-229,553.9,753.2
2.0,chal-230,13.5,2.0
16.0,chal-231,3.5,33.0
280.0,chal-232,4250.00000000,1.80000000
8.0,chal-233,56.0063418323456789012,14.0
2.0,chal-234,18.0,16.0
1.0,chal-235,15.00,2.00
183.0,chal-236,49.0,155.5
482.0,chal-237,1090.90,499.5
8.0,chal-238,2.0,12.0
3.0,chal-239,2.5,65.25
69.0,chal-240,4.5,21.0
20.0,chal-241,76.0,280.00
21.0,chal-242,75.0,27.0
90.0,chal-243,54.0,74.2
10.0,chal-244,25.00,13.00678867876787678
11.0,chal-245,59.5,25.0
174.0,chal-246,6.0,58.5
84.0,chal-247,13.0,84.0
640.0,chal-248,36.0,0.5
26.0,chal-249,75.0,26.0
14.0,chal-250,70.0,35.0
27.0,chal-251,3.0832583258326,34.0
65.0,chal-252,16.00,27.0
6840.0,chal-253,3180.0,4240.0
23.0,chal-254,0.57050000000001,1.30
1542.0,chal-255,1500.1,704.00
9.0,chal-256,13.0,15.0
14.0,chal-257,10.0,43.0
1.0,chal-258,8.0,2.0
40.0,chal-259,40.0,34.0
183.0,chal-260,109.7,84.2
127.0,chal-261,137.17,56.5
10.0,chal-262,16.00,3.5
26.0,chal-263,26.666666666666666666666,91.0
1.0,chal-264,0.5,2.0
3.0,chal-265,15.0,6.0
997.0,chal-266,47.0,57.0
11.0,chal-267,49.0,54.0
29.0,chal-268,23.5,20.0
27.0,chal-269,17.0,10.0
91.0,chal-270,56.5,125.4
7.0,chal-271,5.0,7.0
5.0,chal-272,59.5,13.0
48.0,chal-273,18.0,48.0
2.0,chal-274,6.5,78.00
18.0,chal-275,15.0,10.0
1.0,chal-276,27.0,17.0
217.0,chal-277,7.5,144.1
5.0,chal-278,7600.00000000,16.0
26180.0,chal-279,4460.2,36890.0
3.0,chal-280,0.5,2.5
211.0,chal-281,12.5,17.5
37.0,chal-282,73.5,13.5
34.0,chal-283,54.0,57.4
6.0,chal-284,23.0,14.0
30.0,chal-285,56.0,20.0
20.0,chal-286,56.0,45.0
410.0,chal-287,213.3,59.00
2.0,chal-288,57.5929299293,19.0
2.0,chal-289,16.0,7.0
745.0,chal-290,53.546999999999,36165.00
131.0,chal-291,66.0,48.0
6.0,chal-292,10.0,1.8
4.0,chal-293,10.0,12.0
3.0,chal-294,15.0,1.5
37.0,chal-295,4.9,17.0
4.0,chal-296,12.0,15.0
2.0,chal-297,16.5,5.7
654.0,chal-298,15.00,52.0
34.0,chal-299,25.0,23.0
45.0,chal-300,14.5,27.0
28.0,chal-301,87.0,35.0
3.0,chal-302,25.1,11.0
25.0,chal-303,9.0,12.0
1.0,chal-304,16.0,4.0
14.0,chal-305,16.0,97.0
7.0,chal-306,57.0,14.0
5.0,chal-307,57.0,9.0
1.0,chal-308,75.0,76.5
2184.0,chal-309,35.066666666666667,7600.5
20.0,chal-310,14.0,16.0
66.0,chal-311,18.00,33.0
89.0,chal-312,159.000128,88.00
5.0,chal-313,12.0,10.00
22.0,chal-314,58.0,23.0
8.0,chal-315,7.0,6.0
18.0,chal-316,54.0,80.0
1.0,chal-317,12.0,8.0
14.0,chal-318,4.0,10.0
3.0,chal-319,17.5791078917910789,6.0
4.0,chal-320,2.5,2.5
9.0,chal-321,3.0,8.0
78.0,chal-322,133.4,79.0
13.0,chal-323,23.0,23.0
35.0,chal-324,14.0,20.0
41.0,chal-325,133.4,38.0
19.0,chal-326,19.0,12.0
13.0,chal-327,9.0,56.3
26.0,chal-328,59.5,3.5
63.0,chal-329,54.0,84.5
11.0,chal-330,53.0,1.5
4.0,chal-331,17.0,42.0
32.0,chal-332,1.0,31.6
332.0,chal-333,26.5,11.5
25.0,chal-334,8.0,6.0
16.0,chal-335,8.0,18.0
1.0,chal-336,16.5,1.0
807.0,chal-337,841.00,840.5
18.0,chal-338,8.0,13.0
3.0,chal-339,13.5,18.0
4.0,chal-340,37.1,18.0
2.0,chal-341,25.0,17.0
2.0,chal-342,56.25,9.00
1.0,chal-343,10.0592239479295,2.0
43.0,chal-344,2.5,56.0
4.0,chal-345,26.0,26.0
17.0,chal-346,23.9,7.0
158.0,chal-347,83.0,78.0
1081.0,chal-348,556.2,576.5
16.0,chal-349,10.0,30.0
13.0,chal-350,9.0,18.0
23.0,chal-351,25.5,1.5
5.0,chal-352,12.0,5.0
117.0,chal-353,5.0,27.0
1848.0,chal-354,64.0,76.0
26.0,chal-355,38.0,12.0
80.0,chal-356,9.0,0.5
12.0,chal-357,57.0,9.0
11.0,chal-358,18.0,9.0
47.0,chal-359,16.0,49.0
27.0,chal-360,8.0,14.0
7.0,chal-361,27.0,47.0
4.0,chal-362,17.5,8.0
1.0,chal-363,18.00,3.0
14.0,chal-364,13.0,13.0
2.0,chal-365,13.0,3.0
146.0,chal-366,25.0,70.0
92.0,chal-367,459.0,35.00
314.0,chal-368,18.00,43.0
7.0,chal-369,57.00,1.4
14.0,chal-370,12.0,14.0
2.0,chal-371,8.0,25.0
337.0,chal-372,39.9,623.0
3.0,chal-373,17.00,1.6
22.0,chal-374,0.64253,46.0
20.0,chal-375,6.6666666666667,12.0
152.0,chal-376,5.00,7500.00
6.0,chal-377,87.0,146.5
1.0,chal-378,7601.0000076017601760,1.5
3.0,chal-379,19.0,3.0
3.0,chal-380,10.0449364394296449,1.5
15.0,chal-381,168.2,9.5
1.0,chal-382,4.0,13.0
83.0,chal-383,9.5,69.5
70.0,chal-384,4.0,317.8
6.0,chal-385,10.00,48.00
2.0,chal-386,7.6,19.0
52.0,chal-387,2400.1,1.5
3.0,chal-388,13.5,4.5
8.0,chal-389,3.0,9.0
64.0,chal-390,4.5,76.5
6.0,chal-391,25.6793079277914791,25.0
37.0,chal-392,16.00,25.0
13.0,chal-393,9.5,48.0
9.0,chal-394,18.0,8.0
3.0,chal-395,38.0,12.0
1346.0,chal-396,428.2,743.7
32.0,chal-397,48.0,1.8
10.0,chal-398,25.0,20.0
9.0,chal-399,3.5,12.0
4.0,chal-400,59.5,42.0
8.0,chal-401,23.0,10.0
3.0,chal-402,15.00,3.0
14.0,chal-403,8.7,28.00
11.0,chal-404,11.0,5.0
9.0,chal-405,20.0,43.0
1.0,chal-406,4.0,19.0
8.0,chal-407,59.076462890625766666,25.0
101.0,chal-408,32.0,27.0
6.0,chal-409,0.5,13.0
455.0,chal-410,850.0000,152.4
33.0,chal-411,8.0,19.0
7.0,chal-412,12.0,10.0
98.0,chal-413,19.9,37.0
8.0,chal-414,2.0,24.0
17.0,chal-415,52.0,48.0
3.0,chal-416,56.0,33.0
45.0,chal-417,76.5,1.0
9.0,chal-418,15.0,17.0
4.0,chal-419,5.0,10.0
8.0,chal-420,2.5,0.5
1.0,chal-421,2.0,11.0
1.0,chal-422,13.0,7.5
10.0,chal-423,7.9,55.00
394.0,chal-424,7.5,559.00
5590.0,chal-425,50.006666666667,3050.00
2.0,chal-426,20.0,12.0
15.0,chal-427,4.5,13.0
18.0,chal-428,14.0,12.0
111.0,chal-429,7600.0000076923076923760,18.6
7.0,chal-430,23.0,21.0
6.0,chal-431,0.6,2.0
93.0,chal-432,53.5,19.5
2.0,chal-433,53.0,69.0
51.0,chal-434,39.1,47.2
4.0,chal-435,3.5,1.5
3.0,chal-436,9.0,8.0
14.0,chal-437,760.7832543922893929,18.0
8.0,chal-438,12.0,10.0
5.0,chal-439,6.00,7.0
5.0,chal-440,17.5,17.5
141.0,chal-441,53.88,88.0
587.0,chal-442,598.5999999999999,760.7
35624.0,chal-443,49024.00,7916.0
2.0,chal-444,17.0,1.5
8.0,chal-445,760.4,4.0
1891.0,chal-446,30.9,3111.01
5.0,chal-447,8.0,4.0
1.0,chal-448,15.00,1.5
17017.0,chal-449,71.7,30567.7
58.0,chal-450,68.687000000001,23.0
3.0,chal-451,13.5,12.0
5.0,chal-452,10.0,23.0
3.0,chal-453,52.0,78.9
4.0,chal-454,25.0,3.0
1.0,chal-455,7600.0750076017602,9.0
10.0,chal-456,25.0,59.0
21.0,chal-457,6.0,7.0
4.0,chal-458,10.5,5.1
71.0,chal-459,35.5,30.0
34.0,chal-460,20.0,12.0
58.0,chal-461,23.0,47.0
3.0,chal-462,25.09299999999999986,11.0
2.0,chal-463,2.0,3.0
60.0,chal-464,87.0,82.0
9.0,chal-465,2.5792174487343,15.0
3.0,chal-466,16.0,33.0
756.0,chal-467,389.00,424.00
31.0,chal-468,9.0,17.0
3.0,chal-469,26.5,4.5
30.0,chal-470,27.67052680000000000000,20.0
17.0,chal-471,27.0,12.0
112.0,chal-472,58.5,104.7
3.0,chal-473,6.0,20.0
140.0,chal-474,14.0,84.8
102.0,chal-475,27.5,35.0
1.0,chal-476,26.5,2.5
89.0,chal-477,176.75,73.5
6.0,chal-478,23.0,13.0
1080.0,chal-479,19.8,84.0
66.0,chal-480,58.0,32.5
25740.0,chal-481,24120.00,16200.0
60.0,chal-482,25.0,7.5
109044.0,chal-483,55923.0,66647.0
322.0,chal-484,2.6,112.3
333.0,chal-485,592.2,568.00
390.0,chal-486,64.0,66.0
68.0,chal-487,20.0,20.0
9.0,chal-488,49.6,11.7647
405.0,chal-489,42.0,54.0
25.0,chal-490,74.0,37.0
16.0,chal-491,0.5,1.0
8.0,chal-492,18.0,12.0
324775.0,chal-493,7145.0,44615.0
92.0,chal-494,52.0,46.0
4.0,chal-495,11.0,22.5
23.0,chal-496,7600.2,7.5
12.0,chal-497,56.5,8.0
1.0,chal-498,83.00,15.0
9.0,chal-499,53.0,8.0
12.0,chal-500,2.5,48.6
2.0,chal-501,15.0,9.5
70.0,chal-502,37.5,56.0
